ID_Joueur;Poste;Period Name;Date;Jour;Unnamed: 5;TAGS;Semaine;Nombre de sance;Period Number;TDJ;MinutesJoues;Duration;Dure;Dist;Distance - Z1;Distance - Z1-2;Distance - Z1-3;Distance - Z1-3/min;Distance - Z2;Distance - Z2-4;Distance - Z2-6;Distance - Z3;Distance - Z3-6;Distance - Z4;HID 16;Distance - Z4-6/min;Distance - Z5;HID 21;Distance - Z5-6/min;Sup 24;% Marche;Running (Z3-4);Jogging & Walking (Z1-2);High Speed Running (Z5-6);High Speed Running (Z4-6);Speed - Avg;Speed - Avg (m/min);Speed - Avg (yard/min);%Vmax;Vmax;Speed Exertion;Speed Exertion /min;Accel Load;Accel Load - Density;Accel Load.1;Accel - Z1;Accel - Z1-3;Accel - Z1-3/min;Accel - Z2;Accel - Z2-3;Accel - % Z2-3;Accel - Z2-3/min;Accel - Z3;Accel - % Z3;Decel - Z1;Decel - Z1-3;Decel - Z1-3/min;Decel - Z2;Decel - Z2-3;Decel Z2-3/min;Decel - Z3;HR Exertion;HML Dist;% HMLD;Met. Load - Distance;Collisions;Running Imbalance
1254;;JEU;;;;;;;12;0,004;5,23;00:05:14;;436,76;269,12;387,72;423,19;80,86;118,6;165,29;167,66;35,47;49,06;11,22;13,59;2,6;2,37;2,37;0,45;0;61,62;46,69;387,72;2,37;13,59;5,01;83,46;91,27;263,98;21,56;2,72;0,52;188,28;0,6;4,31;6;6;1,15;0;0;0;0;0;0;2;2;0,38;0;0;0;0;314,01;62,86;14,39;436,79;3;0
1255;;JEU;;;;;;;12;0,004;5,23;00:05:14;;636,9;269,23;441,73;543,08;103,77;172,5;354,63;367,69;101,35;195,19;80,78;93,84;17,93;13,06;13,06;2,5;0;42,27;182,13;441,73;13,06;93,84;7,3;121,7;133,09;296,23;22,22;5,19;0,99;260,97;0,83;4,1;6;7;1,34;1;1;14,29;0,19;0;0;5;9;1,72;3;4;0,76;1;314;192,02;30,15;636,92;2;20,97
1256;;JEU;;;;;;;12;0,004;5,23;00:05:14;;464,83;257,62;402,85;451,6;86,29;145,23;207,2;207,2;48,75;61,97;13,22;13,22;2,53;0;0;0;0;55,42;61,97;402,85;0;13,22;5,33;88,82;97,14;241,07;19,89;3,04;0,58;201,92;0,64;4,34;4;4;0,76;0;0;0;0;0;0;2;3;0,57;1;1;0,19;0;313,99;84,11;18,09;464,83;1;0
1257;;JEU;;;;;;;12;0,004;5,23;00:05:14;;518,45;297,77;429,32;486,26;92,92;131,55;220,67;220,67;56,94;89,12;32,18;32,18;6,15;0;0;0;0;57,43;89,12;429,32;0;32,18;5,94;99,07;108,34;218,15;19,39;2,93;0,56;221,79;0,71;4,28;7;7;1,34;0;0;0;0;0;0;5;7;1,34;1;2;0,38;1;314;100,67;19,42;518,44;1;0
1258;;JEU;;;;;;;12;0,004;5,23;00:05:14;;500,1;264,71;399,29;461,47;88,18;134,58;232,96;234,12;62,18;99,54;36,2;37,36;7,14;1,16;1,16;0,22;0;52,93;98,38;399,29;1,16;37,36;5,73;95,56;104,51;243,88;21;3,62;0,69;229,34;0,73;4,59;5;5;0,96;0;0;0;0;0;0;10;11;2,1;1;1;0,19;0;314;102,37;20,47;500,15;1;0
1259;;JEU;;;;;;;12;0,004;5,23;00:05:14;;164,46;93,63;147,09;153,78;29,38;53,46;70,82;70,82;6,69;17,36;10,67;10,67;2,04;0;0;0;0;56,93;17,36;147,09;0;10,67;1,89;31,42;34,37;255,79;20,68;0,88;0,17;64,48;0,21;3,92;2;2;0,38;0;0;0;0;0;0;1;1;0,19;0;0;0;0;98;31,15;18,94;164,46;0;0
1260;;JEU;;;;;;;12;0,004;5,23;00:05:14;;497,39;310,08;410,69;466,04;89,05;100,61;186,04;186,04;55,35;85,43;30,08;30,08;5,75;0;0;0;0;62,34;85,43;410,69;0;30,08;5,7;95,04;103,94;235,88;19,72;3,35;0,64;199,2;0,63;4;5;5;0,96;0;0;0;0;0;0;3;5;0,96;2;2;0,38;0;314;90,43;18,18;497,43;0;-2,99
1261;;JEU;;;;;;;12;0,004;5,23;00:05:14;;564,63;269,15;464,93;554,5;105,96;195,78;295,48;295,48;89,57;99,7;10,13;10,13;1,94;0;0;0;0;47,67;99,7;464,93;0;10,13;6,47;107,89;117,99;228,6;18,92;3,75;0,72;206,23;0,66;3,65;0;0;0;0;0;0;0;0;0;3;4;0,76;1;1;0,19;0;313,99;103,75;18,37;564,62;0;0
1262;;COMPENSATOIRE;;;;;;;13;0,004;6,33;00:06:20;;407,18;298,06;333,51;342,79;54,07;35,45;69,89;109,12;9,28;73,67;25,16;64,39;10,16;28,71;39,23;6,19;10,52;73,2;34,44;333,51;39,23;64,39;3,85;64,23;70,25;316,84;25,88;2,34;0,37;88,59;0,23;2,18;0;3;0,47;3;3;100;0,47;0;0;2;3;0,47;1;1;0,16;0;380,99;60,35;14,82;407,18;0;0
1263;;COMPENSATOIRE;;;;;;;13;0,004;6,33;00:06:20;;329,78;325,15;329,63;329,63;52;4,48;4,48;4,48;0;0;0;0;0;0;0;0;0;98,6;0;329,63;0;0;3,12;52,02;56,89;99,27;9,93;1,28;0,2;374,44;0,98;11,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;380,99;13,7;4,15;329,63;0;0
1264;;COMPENSATOIRE;;;;;;;13;0,004;6,33;00:06:20;;374,41;108,72;215,58;239,94;37,85;106,86;175,28;265,78;24,36;158,92;44,06;134,56;21,23;69,17;90,5;14,28;21,33;29,04;68,42;215,58;90,5;134,56;3,54;59,06;64,59;337,32;25,3;2;0,31;98,08;0,26;2,62;0;5;0,79;5;5;100;0,79;0;0;1;2;0,32;0;1;0,16;1;380,99;128,36;34,28;373,87;0;17,3
1265;;COMPENSATOIRE;;;;;;;13;0,004;6,33;00:06:20;;375,65;244,45;278,05;294,22;46,41;33,6;77,62;131,06;16,17;97,46;27,85;81,29;12,82;43,86;53,44;8,43;9,58;65,07;44,02;278,05;53,44;81,29;3,56;59,26;64,81;322,4;25,08;1,72;0,27;92,18;0,24;2,45;1;3;0,47;2;2;66,67;0,32;0;0;2;2;0,32;0;0;0;0;380,99;73,15;19,47;375,51;0;11,03
1266;;COMPENSATOIRE;;;;;;;13;0,004;6,33;00:06:20;;315,08;158,57;198,02;208,04;32,82;39,45;75,01;156,17;10,02;116,72;25,54;106,7;16,83;37,76;81,16;12,8;43,4;50,33;35,56;198,02;81,16;106,7;2,98;49,7;54,36;356,23;26,72;0,97;0,15;129,24;0,34;4,1;0;4;0,63;4;4;100;0,63;0;0;0;3;0,47;2;3;0,47;1;381;104,57;33,19;314,73;1;-8,62
1267;;COMPENSATOIRE;;;;;;;13;0,004;6,33;00:06:20;;403,72;198,82;211,69;230,7;36,39;12,87;68,38;203,84;19,01;190,97;36,5;171,96;27,13;35,84;135,46;21,37;99,62;49,25;55,51;211,69;135,46;171,96;3,82;63,69;69,65;339,94;30,22;2,41;0,38;98,17;0,26;2,43;1;5;0,79;4;4;80;0,63;0;0;3;3;0,47;0;0;0;0;371;140,54;34,81;402,66;0;9,72
1268;;COMPENSATOIRE;;;;;;;13;0,004;6,33;00:06:20;;375,93;247,83;296,83;306,73;48,39;49;71,85;128,09;9,9;79,09;12,95;69,19;10,91;14,39;56,24;8,87;41,85;65,93;22,85;296,83;56,24;69,19;3,56;59,3;64,85;336,02;28,94;1,35;0,21;106,04;0,28;2,82;0;3;0,47;1;3;100;0,47;2;66,67;0;3;0,47;0;3;0,47;3;374,89;75,59;20,11;375,93;1;0
